"","date","region","new_cases","new_pred_cases","region_cases","pred_region_cases","pred_region_cases_low","pred_region_cases_high"
"2984","2020-03-19","Europe",18185.380952381,1307880.94350914,112358,22509687.8571181,15494403.387443,32626375.5957383
"2985","2020-03-19","Americas",7690,1589683.07587004,15547,13170581.0543235,6906881.19360714,27770373.3359889
"2986","2020-03-19","Asia",3173.61904761905,1503951.62289439,115694,78682907.449351,43199724.1979464,174926731.212502
"2992","2020-03-19","Oceania",210.619047619048,63205.239222191,710,563353.607237595,302967.928144609,1174913.01039591
"2995","2020-03-19","Africa",223.952380952381,834436.430883182,781,5754667.9798924,254881.774060892,56357674.9186352
"3133","2020-03-20","Americas",8822.85714285714,1668032.38242115,22535,15026946.793127,8032357.43373851,30531935.9761744
"3134","2020-03-20","Asia",3473,1617331.68917532,118252,80143427.7982875,43701336.9342725,179311675.14678
"3135","2020-03-20","Africa",243.095238095238,894938.145531081,969,6677523.28187356,343786.385599592,60088916.1064248
"3136","2020-03-20","Europe",19594.380952381,1303842.4902853,132710,23954792.8168853,16631801.667412,34319998.6109998
"3141","2020-03-20","Oceania",231.428571428571,65671.5009559047,832,639386.448525094,353930.256046062,1296818.08361777
"3289","2020-03-21","Americas",10236.2857142857,1736445.50490551,29550,16975670.1114916,9235444.4451334,33338804.1985954
"3290","2020-03-21","Asia",3841.71428571429,1736606.96650132,120792,81713934.9760913,44259773.5012598,183727173.521525
"3291","2020-03-21","Africa",270.333333333333,952942.73848216,1172,7695809.67077207,453481.01855021,63872815.9535549
"3292","2020-03-21","Europe",21170.2380952381,1295078.22696271,154277,25379319.3859406,17763802.411687,35958688.0846035
"3297","2020-03-21","Oceania",242.857142857143,67660.6167314232,1125,718321.563869732,407566.110627544,1420124.28522595
"3447","2020-03-22","Americas",11607.6666666667,1794015.44243381,39816,19007059.7365699,10511492.9907984,36123043.3556633
"3448","2020-03-22","Asia",4173,1860698.00567843,123977,83423428.9075345,44878346.564566,188175187.83291
"3449","2020-03-22","Africa",298.190476190476,1008538.24465554,1437,8782148.36437829,585868.988281704,67119565.7670871
"3450","2020-03-22","Europe",22673.4761904762,1281770.61179294,173918,26774397.181497,18882880.1032234,37533623.1933804
"3455","2020-03-22","Oceania",259.190476190476,69119.7568262612,1654,799657.447184895,463381.504272746,1543972.17964865
"3608","2020-03-23","Americas",13247.2380952381,1839766.80456644,52102,21114799.2558451,11860036.6683794,38898570.2851741
"3609","2020-03-23","Asia",4545.57142857143,1987657.29670659,127079,85278931.9300455,45559956.6587408,192635505.914486
"3610","2020-03-23","Africa",328.47619047619,1061053.58179446,1818,9946520.27722032,740392.702778428,70462005.7885162
"3611","2020-03-23","Europe",24200.8571428571,1264237.64419308,200729,28132457.7423706,19983152.7471204,39043840.2056797
"3616","2020-03-23","Oceania",275.619047619048,70007.8719980041,1788,882672.249533273,521038.655258268,1667602.76713867
"3770","2020-03-24","Americas",14901.2857142857,1872678.11434398,64038,23281120.078345,13280249.9660232,41642227.3215437
"3771","2020-03-24","Asia",4872.80952380952,2116935.10093237,130803,87282806.1094236,46307706.297592,197099181.911555
"3772","2020-03-24","Africa",368.380952380952,1110682.83153281,2250,11175135.2021033,918935.08085399,73124093.614767
"3773","2020-03-24","Europe",25439.2857142857,1242879.52228432,225234,29447756.9274111,21059592.4837507,40487799.7495387
"3778","2020-03-24","Oceania",285.761904761905,70313.997632846,2204,966366.344291026,580155.199207862,1790018.05538469
"3934","2020-03-25","Europe",26659.1904761905,1218129.08899408,256139,30714763.7141066,22106976.572626,41862414.3415069
